clear_fraction,lat_cloud,lon_cloud,.geo_cloud,lat_round,lon_round,lat_loss,lon_loss,loss_fraction,.geo_loss,quadrant
0.51392406,-15.707042742829834,-68.35730154507499,,-15.707,-68.357,-15.707042742829834,-68.35730154507499,0.89641434,,good_visibility__has_loss
0.443038,-15.707042742829834,-68.3483183922338,,-15.707,-68.348,-15.707042742829834,-68.3483183922338,0.97959185,,good_visibility__has_loss
0.3838384,-15.707042742829834,-68.3393352393926,,-15.707,-68.339,-15.707042742829834,-68.3393352393926,0.8888889,,good_visibility__has_loss
0.18939394,-15.707042742829834,-68.3303520865514,,-15.707,-68.33,-15.707042742829834,-68.3303520865514,0.0,,poor_visibility__no_loss
0.2050633,-15.716025895671027,-68.40221730928097,,-15.716,-68.402,-15.716025895671027,-68.40221730928097,0.0,,poor_visibility__no_loss
0.25822785,-15.716025895671027,-68.38425100359858,,-15.716,-68.384,-15.716025895671027,-68.38425100359858,0.0,,poor_visibility__no_loss
0.32405064,-15.716025895671027,-68.37526785075738,,-15.716,-68.375,-15.716025895671027,-68.37526785075738,0.0,,poor_visibility__no_loss
0.49620253,-15.716025895671027,-68.36628469791619,,-15.716,-68.366,-15.716025895671027,-68.36628469791619,0.54285717,,good_visibility__has_loss
0.49873418,-15.716025895671027,-68.35730154507499,,-15.716,-68.357,-15.716025895671027,-68.35730154507499,1.0,,good_visibility__has_loss
0.18227848,-15.716025895671027,-68.3303520865514,,-15.716,-68.33,-15.716025895671027,-68.3303520865514,0.0,,poor_visibility__no_loss
0.17974684,-15.725009048512224,-68.40221730928097,,-15.725,-68.402,-15.725009048512224,-68.40221730928097,0.0,,poor_visibility__no_loss
0.16202532,-15.725009048512224,-68.39323415643977,,-15.725,-68.393,-15.725009048512224,-68.39323415643977,0.0,,poor_visibility__no_loss
0.30379745,-15.725009048512224,-68.38425100359858,,-15.725,-68.384,-15.725009048512224,-68.38425100359858,0.0,,poor_visibility__no_loss
0.42025316,-15.725009048512224,-68.37526785075738,,-15.725,-68.375,-15.725009048512224,-68.37526785075738,0.0,,good_visibility__no_loss
0.51392406,-15.725009048512224,-68.36628469791619,,-15.725,-68.366,-15.725009048512224,-68.36628469791619,0.0,,good_visibility__no_loss
0.49113923,-15.725009048512224,-68.35730154507499,,-15.725,-68.357,-15.725009048512224,-68.35730154507499,0.0,,good_visibility__no_loss
0.17721519,-15.73399220135342,-68.40221730928097,,-15.734,-68.402,-15.73399220135342,-68.40221730928097,0.0,,poor_visibility__no_loss
0.22531645,-15.73399220135342,-68.39323415643977,,-15.734,-68.393,-15.73399220135342,-68.39323415643977,0.0,,poor_visibility__no_loss
0.37721518,-15.73399220135342,-68.38425100359858,,-15.734,-68.384,-15.73399220135342,-68.38425100359858,0.0,,good_visibility__no_loss
0.46329114,-15.73399220135342,-68.37526785075738,,-15.734,-68.375,-15.73399220135342,-68.37526785075738,0.0,,good_visibility__no_loss
0.32911393,-15.742975354194614,-68.40221730928097,,-15.743,-68.402,-15.742975354194614,-68.40221730928097,0.0,,poor_visibility__no_loss
0.32405064,-15.742975354194614,-68.39323415643977,,-15.743,-68.393,-15.742975354194614,-68.39323415643977,0.0,,poor_visibility__no_loss
0.321519,-15.105171502469757,-68.87832440986432,,-15.105,-68.878,-15.105171502469757,-68.87832440986432,0.0,,poor_visibility__no_loss
0.34177214,-15.105171502469757,-68.86934125702312,,-15.105,-68.869,-15.105171502469757,-68.86934125702312,0.0,,good_visibility__no_loss
0.4,-15.105171502469757,-68.83340864565834,,-15.105,-68.833,-15.105171502469757,-68.83340864565834,0.0,,good_visibility__no_loss
0.23544304,-15.105171502469757,-68.77950972861116,,-15.105,-68.78,-15.105171502469757,-68.77950972861116,0.0,,poor_visibility__no_loss
0.40759495,-15.105171502469757,-68.76154342292878,,-15.105,-68.762,-15.105171502469757,-68.76154342292878,0.0,,good_visibility__no_loss
0.40759495,-15.105171502469757,-68.75256027008759,,-15.105,-68.753,-15.105171502469757,-68.75256027008759,0.9893617,,good_visibility__has_loss
0.37468356,-15.105171502469757,-68.74357711724639,,-15.105,-68.744,-15.105171502469757,-68.74357711724639,0.0,,good_visibility__no_loss
0.2658228,-15.105171502469757,-68.725610811564,,-15.105,-68.726,-15.105171502469757,-68.725610811564,0.0,,poor_visibility__no_loss
0.23037975,-15.105171502469757,-68.7166276587228,,-15.105,-68.717,-15.105171502469757,-68.7166276587228,0.0,,poor_visibility__no_loss
