lat,lon,loss_fraction,.geo
-14.620081249045214,-67.7733966103973,0.0,
-14.629064401886408,-68.31238578086902,0.0,
-14.629064401886408,-68.30340262802783,0.0,
-14.629064401886408,-68.29441947518663,0.41666666,
-14.629064401886408,-68.28543632234543,0.0,
-14.629064401886408,-68.27645316950424,0.0,
-14.629064401886408,-68.26747001666304,0.013483146,
-14.629064401886408,-68.23153740529825,0.9458824,
-14.629064401886408,-68.22255425245706,0.0,
-14.629064401886408,-68.21357109961586,0.0,
-14.629064401886408,-68.20458794677467,0.04,
-14.629064401886408,-68.19560479393348,0.818038,
-14.629064401886408,-68.18662164109229,0.6327078,
-14.629064401886408,-68.17763848825109,0.0,
-14.629064401886408,-68.1686553354099,0.0,
-14.629064401886408,-68.1596721825687,0.0,
-14.629064401886408,-68.1506890297275,0.0,
-14.629064401886408,-68.13272272404511,0.0,
-14.629064401886408,-68.12373957120391,0.0,
-14.629064401886408,-68.11475641836272,0.0,
-14.629064401886408,-68.09679011268032,0.0,
-14.629064401886408,-68.08780695983914,0.0,
-14.629064401886408,-68.06984065415675,0.0,
-14.629064401886408,-68.05187434847436,0.0,
-14.629064401886408,-68.03390804279196,0.0,
-14.629064401886408,-68.02492488995077,0.0,
-14.629064401886408,-67.98000912574479,0.9476744,
-14.629064401886408,-67.9710259729036,0.9741379,
-14.629064401886408,-67.95305966722121,0.97133756,
-14.629064401886408,-67.94407651438001,0.87116563,
-14.629064401886408,-67.92611020869762,0.0,
-14.629064401886408,-67.91712705585643,0.0,
-14.629064401886408,-67.89916075017403,0.0,
-14.629064401886408,-67.89017759733284,0.0,
-14.629064401886408,-67.88119444449164,0.43037975,
-14.629064401886408,-67.87221129165044,0.11764706,
-14.629064401886408,-67.84526183312687,0.06666667,
-14.629064401886408,-67.83627868028567,0.10714286,
-14.629064401886408,-67.82729552744448,0.0,
-14.629064401886408,-67.7733966103973,0.34210527,
-14.629064401886408,-67.7644134575561,0.57831323,
-14.629064401886408,-67.7554303047149,0.6764706,
-14.638047554727605,-68.3213689337102,0.0,
-14.638047554727605,-68.31238578086902,0.02739726,
-14.638047554727605,-68.30340262802783,0.115384616,
-14.638047554727605,-68.29441947518663,0.0,
-14.638047554727605,-68.28543632234543,0.2,
-14.638047554727605,-68.27645316950424,0.0,
-14.638047554727605,-68.26747001666304,0.0,
-14.638047554727605,-68.25848686382184,0.0,
-14.638047554727605,-68.24052055813945,0.0,
-14.638047554727605,-68.23153740529825,0.0,
-14.638047554727605,-68.22255425245706,0.0,
-14.638047554727605,-68.21357109961586,0.0,
