basis,country,elevation,gbif_id,institution,lat,lon,precip_mm,temp_c,year,group,PC1,PC2
MACHINE_OBSERVATION,Colombia,1965.11083984375,4979669053.0,Fundación Grupo Argos (FGA),4.99364,-76.06573,2685,17.399999618530273,2023.0,occurrence,-0.550500437168319,1.497696745164168
MACHINE_OBSERVATION,Colombia,1894.6220703125,4979669567.0,Fundación Grupo Argos (FGA),4.95237,-76.0711,2441,18.0,2023.0,occurrence,-0.47042840671834746,1.138565539942951
MACHINE_OBSERVATION,Colombia,2088.9833984375,6496108340.0,Distrito Especial de Medellín (DEMedellin),6.24803,-75.6506,2229,17.700000762939453,2023.0,occurrence,-0.7085023772283856,0.8846870351526909
MACHINE_OBSERVATION,Colombia,2088.33203125,4979668049.0,Fundación Grupo Argos (FGA),4.90812,-76.08447,2388,18.100000381469727,2023.0,occurrence,-0.6061145645344467,1.0911462971212151
MACHINE_OBSERVATION,Colombia,1834.01171875,4979668305.0,Fundación Grupo Argos (FGA),5.01522,-76.0563,2862,16.799999237060547,2023.0,occurrence,-0.5044912609340692,1.7366038741376697
MACHINE_OBSERVATION,Colombia,2151.568359375,4979668607.0,Fundación Grupo Argos (FGA),4.96826,-76.0734,2876,17.0,2023.0,occurrence,-0.6956973801997375,1.7956846341722217
MACHINE_OBSERVATION,Colombia,1831.6612548828125,5004498209.0,Fundación Grupo Argos (FGA),3.8306,-75.54452,2649,18.299999237060547,2023.0,occurrence,-0.32667739042904037,1.4057066938129772
MACHINE_OBSERVATION,Colombia,2724.0947265625,6496108352.0,Distrito Especial de Medellín (DEMedellin),6.31531,-75.6341,2099,13.800000190734863,2023.0,occurrence,-1.7915858537748945,0.9008402268993763
MACHINE_OBSERVATION,Colombia,2516.10693359375,6496108359.0,Distrito Especial de Medellín (DEMedellin),6.18875,-75.6844,2000,15.600000381469728,2023.0,occurrence,-1.3926467108032026,0.6883833385666694
MACHINE_OBSERVATION,Colombia,2099.93310546875,4506791300.0,Alcaldía de Pitalito (pitalito),1.775583,-76.239667,2108,14.5,2023.0,occurrence,-1.2385787161905693,0.8056658940484519
