clear_fraction,lat,lon,.geo
0.14177215,-15.13212096099334,-68.62679613031085,
0.088607594,-15.13212096099334,-68.61781297746965,
0.06835443,-15.13212096099334,-68.60882982462846,
0.24050634,-15.13212096099334,-68.59984667178726,
0.25822785,-15.13212096099334,-68.59086351894607,
0.3113924,-15.13212096099334,-68.58188036610487,
0.321519,-15.13212096099334,-68.57289721326367,
0.32405064,-15.13212096099334,-68.56391406042248,
0.32911393,-15.13212096099334,-68.55493090758128,
0.2835443,-15.13212096099334,-68.5459477547401,
0.20759493,-15.13212096099334,-68.5369646018989,
0.20253165,-15.13212096099334,-68.5279814490577,
0.18481013,-15.13212096099334,-68.51899829621651,
0.24556962,-15.13212096099334,-68.51001514337531,
0.2506329,-15.13212096099334,-68.50103199053412,
0.37468356,-15.13212096099334,-68.49204883769292,
0.35949367,-15.13212096099334,-68.48306568485172,
0.31392404,-15.13212096099334,-68.47408253201053,
0.28101265,-15.13212096099334,-68.46509937916933,
0.25822785,-15.13212096099334,-68.45611622632813,
0.278481,-15.13212096099334,-68.44713307348694,
0.2886076,-15.13212096099334,-68.43814992064574,
0.2329114,-15.13212096099334,-68.42916676780456,
0.30379745,-15.13212096099334,-68.42018361496336,
0.33924052,-15.13212096099334,-68.41120046212217,
0.26835442,-15.13212096099334,-68.40221730928097,
0.31898734,-15.13212096099334,-68.39323415643977,
0.38481012,-15.13212096099334,-68.38425100359858,
0.40759495,-15.13212096099334,-68.37526785075738,
0.42025316,-15.13212096099334,-68.36628469791619,
0.3949367,-15.13212096099334,-68.35730154507499,
0.3164557,-15.13212096099334,-68.3483183922338,
0.36962026,-15.13212096099334,-68.3393352393926,
0.4177215,-15.13212096099334,-68.3303520865514,
0.47341773,-15.141104113834537,-68.88730756270552,
0.43544304,-15.141104113834537,-68.87832440986432,
0.34177214,-15.141104113834537,-68.86934125702312,
0.33670887,-15.141104113834537,-68.86035810418193,
0.35949367,-15.141104113834537,-68.85137495134073,
0.321519,-15.141104113834537,-68.84239179849953,
0.25316456,-15.141104113834537,-68.83340864565834,
0.23797469,-15.141104113834537,-68.82442549281714,
0.2556962,-15.141104113834537,-68.81544233997595,
0.27594936,-15.141104113834537,-68.80645918713475,
0.22025317,-15.141104113834537,-68.79747603429355,
0.27594936,-15.141104113834537,-68.78849288145236,
0.26835442,-15.141104113834537,-68.77950972861116,
0.2835443,-15.141104113834537,-68.77052657576998,
0.24303797,-15.141104113834537,-68.76154342292878,
0.18481013,-15.141104113834537,-68.75256027008759,
0.20253165,-15.141104113834537,-68.74357711724639,
0.18734178,-15.141104113834537,-68.73459396440519,
0.16202532,-15.141104113834537,-68.725610811564,
0.12911393,-15.141104113834537,-68.7166276587228,
0.18734178,-15.141104113834537,-68.7076445058816,
0.11139241,-15.141104113834537,-68.69866135304041,
0.14683545,-15.141104113834537,-68.68967820019921,
0.14177215,-15.141104113834537,-68.68069504735801,
0.08607595,-15.141104113834537,-68.67171189451682,
0.1493671,-15.141104113834537,-68.66272874167562,
0.16708861,-15.141104113834537,-68.65374558883444,
0.101265825,-15.141104113834537,-68.64476243599324,
0.08101266,-15.141104113834537,-68.63577928315205,
0.10886076,-15.141104113834537,-68.62679613031085,
0.10886076,-15.141104113834537,-68.61781297746965,
0.08354431,-15.141104113834537,-68.60882982462846,
0.2050633,-15.141104113834537,-68.59984667178726,
0.17721519,-15.141104113834537,-68.59086351894607,
0.15443037,-15.141104113834537,-68.58188036610487,
0.18987341,-15.141104113834537,-68.57289721326367,
0.35696203,-15.141104113834537,-68.56391406042248,
0.3721519,-15.141104113834537,-68.55493090758128,
0.2987342,-15.141104113834537,-68.5459477547401,
0.21012658,-15.141104113834537,-68.5369646018989,
0.2329114,-15.141104113834537,-68.5279814490577,
0.2607595,-15.141104113834537,-68.51899829621651,
0.2658228,-15.141104113834537,-68.51001514337531,
0.33164558,-15.141104113834537,-68.50103199053412,
0.38227847,-15.141104113834537,-68.49204883769292,
0.3949367,-15.141104113834537,-68.48306568485172,
0.3443038,-15.141104113834537,-68.47408253201053,
0.2835443,-15.141104113834537,-68.46509937916933,
0.24810126,-15.141104113834537,-68.45611622632813,
0.27088606,-15.141104113834537,-68.44713307348694,
0.24303797,-15.141104113834537,-68.43814992064574,
0.21518987,-15.141104113834537,-68.42916676780456,
0.28101265,-15.141104113834537,-68.42018361496336,
0.31392404,-15.141104113834537,-68.41120046212217,
0.29113925,-15.141104113834537,-68.40221730928097,
0.30126584,-15.141104113834537,-68.39323415643977,
0.36455697,-15.141104113834537,-68.38425100359858,
0.36202532,-15.141104113834537,-68.37526785075738,
0.3721519,-15.141104113834537,-68.36628469791619,
0.40253165,-15.141104113834537,-68.35730154507499,
0.36455697,-15.141104113834537,-68.3483183922338,
0.35443038,-15.141104113834537,-68.3393352393926,
0.42025316,-15.141104113834537,-68.3303520865514,
0.36202532,-15.150087266675731,-68.8962907155467,
0.4506329,-15.150087266675731,-68.88730756270552,
0.5164557,-15.150087266675731,-68.87832440986432,
0.5012658,-15.150087266675731,-68.86934125702312,
0.4556962,-15.150087266675731,-68.86035810418193,
0.46329114,-15.150087266675731,-68.85137495134073,
0.36455697,-15.150087266675731,-68.84239179849953,
0.38987342,-15.150087266675731,-68.83340864565834,
0.2329114,-15.150087266675731,-68.82442549281714,
0.33164558,-15.150087266675731,-68.81544233997595,
0.23544304,-15.150087266675731,-68.80645918713475,
0.31392404,-15.150087266675731,-68.79747603429355,
0.26329115,-15.150087266675731,-68.78849288145236,
0.25316456,-15.150087266675731,-68.77950972861116,
0.26329115,-15.150087266675731,-68.77052657576998,
0.2987342,-15.150087266675731,-68.76154342292878,
